number,eric_id,title,authors,year,source,publication_type,peer_reviewed,abstract,descriptors,url
1,ED640258,"Development of Fluency, Complexity, and Accuracy in Second Language Oral Proficiency: A Longitudinal Study of Two International Teaching Assistants in the U.S.",N/A,N/A,N/A,N/A,No,"Development of Fluency, Complexity, and Accuracy in Second Language Oral Proficiency: A Longitudinal Study of Two International Teaching Assistants in the U.S.",N/A,https://eric.ed.gov/?id=ED640258
2,EJ1471579,Exploring the Grammatical Complexity of International Teaching Assistants: A Comparative Corpus Study,N/A,N/A,N/A,N/A,No,Exploring the Grammatical Complexity of International Teaching Assistants: A Comparative Corpus Study,N/A,https://eric.ed.gov/?id=EJ1471579
3,EJ1388300,"Fluency, Comprehensibility, and Accentedness in L2 Speech: Examining the Role of Visual and Acoustic Information in Listener Judgments",N/A,N/A,N/A,N/A,No,"Fluency, Comprehensibility, and Accentedness in L2 Speech: Examining the Role of Visual and Acoustic Information in Listener Judgments",N/A,https://eric.ed.gov/?id=EJ1388300
4,EJ1335281,What the Analytic versus Holistic Scoring of International Teaching Assistants Can Reveal: Lexical Grammar Matters,N/A,N/A,N/A,N/A,No,What the Analytic versus Holistic Scoring of International Teaching Assistants Can Reveal: Lexical Grammar Matters,N/A,https://eric.ed.gov/?id=EJ1335281
5,EJ1391577,Materializing Assessment: Spatial Repertoires and Dialectic Proficiency in Oral English Proficiency Examinations for International Teaching Assistants in the US,N/A,N/A,N/A,N/A,No,Materializing Assessment: Spatial Repertoires and Dialectic Proficiency in Oral English Proficiency Examinations for International Teaching Assistants in the US,N/A,https://eric.ed.gov/?id=EJ1391577
6,EJ1423383,"One Course, Two Approaches: Unpacking International Teaching Assistant Educators' Diverging Ideologies",N/A,N/A,N/A,N/A,No,"One Course, Two Approaches: Unpacking International Teaching Assistant Educators' Diverging Ideologies",N/A,https://eric.ed.gov/?id=EJ1423383
7,EJ1123983,Empirical Profiles of Academic Oral English Proficiency from an International Teaching Assistant Screening Test,N/A,N/A,N/A,N/A,No,Empirical Profiles of Academic Oral English Proficiency from an International Teaching Assistant Screening Test,N/A,https://eric.ed.gov/?id=EJ1123983
8,EJ1324699,An Intersectional Analysis of the English-Competency Experiences of International Teaching Assistants,N/A,N/A,N/A,N/A,No,An Intersectional Analysis of the English-Competency Experiences of International Teaching Assistants,N/A,https://eric.ed.gov/?id=EJ1324699
9,EJ1210635,Factor Analysis for Fairness: Examining the Impact of Task Type and Examinee L1 Background on Scores of an ITA Speaking Test,N/A,N/A,N/A,N/A,No,Factor Analysis for Fairness: Examining the Impact of Task Type and Examinee L1 Background on Scores of an ITA Speaking Test,N/A,https://eric.ed.gov/?id=EJ1210635
10,EJ1354124,Evaluation of Language and Teaching Skill Domains for International Teaching Assistants: An Approach Based on Invariant Measurement,N/A,N/A,N/A,N/A,No,Evaluation of Language and Teaching Skill Domains for International Teaching Assistants: An Approach Based on Invariant Measurement,N/A,https://eric.ed.gov/?id=EJ1354124
11,EJ1335275,Investigating and Optimizing Score Dependability of a Local ITA Speaking Test across Language Groups: A Generalizability Theory Approach,N/A,N/A,N/A,N/A,No,Investigating and Optimizing Score Dependability of a Local ITA Speaking Test across Language Groups: A Generalizability Theory Approach,N/A,https://eric.ed.gov/?id=EJ1335275
12,EJ1295227,Navigating the Contact Zone: Postcolonial Graduate Teaching Assistants' Experiences in a UK Higher Education Institution,N/A,N/A,N/A,N/A,No,Navigating the Contact Zone: Postcolonial Graduate Teaching Assistants' Experiences in a UK Higher Education Institution,N/A,https://eric.ed.gov/?id=EJ1295227
13,ED598228,A Transdisciplinary Approach to International Teaching Assistants: Perspectives from Applied Linguistics,N/A,N/A,N/A,N/A,No,A Transdisciplinary Approach to International Teaching Assistants: Perspectives from Applied Linguistics,N/A,https://eric.ed.gov/?id=ED598228
14,ED647934,Investigating Test Delivery Modes within Video-Conferenced English Speaking Proficiency Assessment,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=ED647934
15,EJ1124764,"A Study of the Use of the ""TOEFL iBT""® Test Speaking and Listening Scores for International Teaching Assistant Screening. ""TOEFL iBT""® Research Report. TOEFL iBT-27. ETS Research Report. RR-16-18",N/A,N/A,N/A,N/A,No,"A Study of the Use of the ""TOEFL iBT""® Test Speaking and Listening Scores for International Teaching Assistant Screening. ""TOEFL iBT""® Research Report. TOEFL iBT-27. ETS Research Report. RR-16-18",N/A,https://eric.ed.gov/?id=EJ1124764
16,EJ1174202,Integrating Pronunciation into the English Language Curriculum: A Framework for Teachers,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=EJ1174202
17,EJ1095045,International Teaching Assistants at Universities: A Research Agenda,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=EJ1095045
18,EJ1286037,Temple University's ITA Placement Test in Times of COVID-19,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=EJ1286037
19,EJ1483141,Bridging the Gap: A Technology-Assisted Communicative Approach to Developing English and Workplace Competencies in Aeronautical Engineering Students,N/A,N/A,N/A,N/A,No,Bridging the Gap: A Technology-Assisted Communicative Approach to Developing English and Workplace Competencies in Aeronautical Engineering Students,N/A,https://eric.ed.gov/?id=EJ1483141
20,EJ976520,Impact of Rater Characteristics and Prosodic Features of Speaker Accentedness on Ratings of International Teaching Assistants' Oral Performance,N/A,N/A,N/A,N/A,No,Impact of Rater Characteristics and Prosodic Features of Speaker Accentedness on Ratings of International Teaching Assistants' Oral Performance,N/A,https://eric.ed.gov/?id=EJ976520
21,ED553723,Statistical Profiling of Academic Oral English Proficiency Based on an ITA Screening Test,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=ED553723
22,EJ1133226,Comparing Student Perceptions of the Classroom Climate Created by U.S. American and International Teaching Assistants,N/A,N/A,Comparing Student Perceptions of the Classroom Climate Created by U.S. American and International Teaching Assistants,N/A,No,Comparing Student Perceptions of the Classroom Climate Created by U.S. American and International Teaching Assistants,N/A,https://eric.ed.gov/?id=EJ1133226
23,ED652694,Modeling Statistics ITAs' Speaking Performances in a Certification Test,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=ED652694
24,EJ848192,THE ITA PROBLEM: A Ready-to-Use Simulation,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=EJ848192
25,EJ1028677,An Investigation into the Validity of the TOEFL iBT Speaking Test for International Teaching Assistant Certification,N/A,N/A,N/A,N/A,No,An Investigation into the Validity of the TOEFL iBT Speaking Test for International Teaching Assistant Certification,N/A,https://eric.ed.gov/?id=EJ1028677
26,EJ1151388,The Impact of a Computer-Mediated Shadowing Activity on ESL Speaking Skill Development: A Pilot Study,N/A,N/A,N/A,N/A,No,The Impact of a Computer-Mediated Shadowing Activity on ESL Speaking Skill Development: A Pilot Study,N/A,https://eric.ed.gov/?id=EJ1151388
27,ED529548,"Rater Effects in ITA Testing: ESL Teachers' versus American Undergraduates' Judgments of Accentedness, Comprehensibility, and Oral Proficiency",N/A,N/A,"Rater Effects in ITA Testing: ESL Teachers' versus American Undergraduates' Judgments of Accentedness, Comprehensibility, and Oral Proficiency",N/A,No,"Rater Effects in ITA Testing: ESL Teachers' versus American Undergraduates' Judgments of Accentedness, Comprehensibility, and Oral Proficiency",N/A,https://eric.ed.gov/?id=ED529548
28,ED243894,The Test of Spoken English as a Measure of Communicative Ability in the Health Professions: Validation and Standard Setting.,N/A,N/A,N/A,N/A,No,The Test of Spoken English as a Measure of Communicative Ability in the Health Professions: Validation and Standard Setting.,N/A,https://eric.ed.gov/?id=ED243894
29,ED516471,Establishing the Validity of the Task-Based English Speaking Test (TBEST) for International Teaching Assistants,N/A,N/A,N/A,N/A,No,Establishing the Validity of the Task-Based English Speaking Test (TBEST) for International Teaching Assistants,N/A,https://eric.ed.gov/?id=ED516471
30,ED223111,Assessing the Oral Proficiency of Prospective Foreign Teaching Assistants: Instruments Development.,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=ED223111
31,EJ1082849,What Can We Tell from These Temporal Measures?--Temporal Measures as Indices of Oral Proficiency,N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=EJ1082849
32,EJ462785,"Oral English Language Proficiency of ITAs: Policy, Implementation, and Contributing Factors.",N/A,N/A,N/A,N/A,No,N/A,N/A,https://eric.ed.gov/?id=EJ462785
33,ED428575,"Talking and Testing: Discourse Approaches to the Assessment of Oral Proficiency. Studies in Bilingualism, Volume 14.",N/A,N/A,N/A,N/A,No,"Talking and Testing: Discourse Approaches to the Assessment of Oral Proficiency. Studies in Bilingualism, Volume 14.",N/A,https://eric.ed.gov/?id=ED428575
