number,title,authors,year,venue,citations,abstract,url
1,Impact of rater characteristics and prosodic features of speaker accentedness on ratings of international teaching assistants' oral performance,['O Kang'],2012,Language Assessment Quarterly,159,"the ultimate consumers of ITA language and the ultimate arbiters of ITA proficiency. Finally,  because prosodic fluency was the most powerful predictor of oral proficiency ratings in this",https://www.tandfonline.com/doi/abs/10.1080/15434303.2011.642631
2,Empirical profiles of academic oral English proficiency from an international teaching assistant screening test,['I Choi'],2017,Language Testing,34,"for ITA training and screening policy makers, the ITA training  can help ITA policy makers,  the ITA training program, ESL  oral proficiency can be meaningfully produced by an ITA",https://journals.sagepub.com/doi/abs/10.1177/0265532215601881
3,Topic and variation in the oral proficiency of international teaching assistants,['JA Smith'],1993,NA,19,"with individual ITA backgrounds revealed that better ITA  in an ITA development program,  while better ITA performance on  representative ITAs compares ITA performance across tests",https://elibrary.ru/item.asp?id=5810002
4,“Authenticity” in language testing: Evaluating spoken language tests for international teaching assistants,"['B Hoekje', 'K Linnell']",1994,TESOL quarterly,116,of the evaluation of language proficiency itself. Despite the in to evaluate the spoken  language proficiency of NNS TAs or  Topic and variation in ITA oral proficiency: SPEAK and field,https://onlinelibrary.wiley.com/doi/abs/10.2307/3587201
5,An investigation into the validity of the TOEFL iBT speaking test for international teaching assistant certification,['TL Farnsworth'],2013,Language Assessment Quarterly,42,"to determine ITA language proficiency, (the TOP) from a factor analytic perspective, no  research as yet has linked TOEFL Speaking scores directly to real-life criterion measures of ITA",https://www.tandfonline.com/doi/abs/10.1080/15434303.2013.769548
6,Communicative competence and the dilemma of international teaching assistant education,"['B Hoekje', 'J Williams']",1992,Tesol Quarterly,176,"understanding of the nature of ITA language use and the goals of ITA training, we turn to the   as a problem of English oral proficiency effectiveness, we maintain that, for ITAs, the aim is",https://onlinelibrary.wiley.com/doi/abs/10.2307/3587005
7,Multidimensional Analysis of Linguistic Features of International Teaching Assistants: Linguistic-Level Authenticity in Ita Assessment,['H Chang'],2022,NA,0,"light on the specialized construct of ITA English oral proficiency as well as inform ITA pedagogy  and assessment practices. Moreover, the study will offer methodological implications for",https://search.proquest.com/openview/f1a68f36069f2862facf34f77e1390ca/1?pq-origsite=gscholar&cbl=18750&diss=y
8,A Study of the Use of the TOEFL iBT® Test Speaking and Listening Scores for International Teaching Assistant Screening,['E Wagner'],2016,ETS Research Report Series,22,Yet most ITA programs that rely on large-scale  language proficiency seem to have focused  exclusively on candidates' speaking scores when judging a prospective ITA's oral proficiency,https://onlinelibrary.wiley.com/doi/abs/10.1002/ets2.12104
9,ITA Language Proficiency Testing: Recommended Replacement for the Speak® Test,['AM Stoughton'],2019,NA,0,oral language proficiency  oral proficiency assessment and which should be maintained in  future testing instruments. The findings of this paper provide a structure for ITA oral proficiency,https://search.proquest.com/openview/81cdee97529c1d953bfb6d87636dd36c/1?pq-origsite=gscholar&cbl=18750&diss=y
10,Standard Setting for Next Generation TOEFL Academic Speaking Test (TAST): Reflections on the ETS Panel of International Teaching Assistant Developers.,['D Papajohn'],2006,TESL-EJ,10,"No one communicates perfectly 100% of the time, so: How often will an ITA have to repeat   minimally acceptable ITA? And, how adept at interaction should a minimally acceptable ITA be",https://eric.ed.gov/?id=EJ1064991
11,Validating TOEFL® iBT Speaking and setting score requirements for ITA screening,['X Xi'],2007,Language Assessment Quarterly,49,"for ITA screenings. However, the strengths of the relationship between the TOEFL iBT Speaking  and the local ITA  feel frustrated if the ITA program cannot supply enough ITA candidates.",https://www.tandfonline.com/doi/abs/10.1080/15434300701462796
12,… : Validating the Interpretation of the TOEFL iBT® Test Speaking Scores for International Teaching Assistant Screening and Certification Purposes,"['E Cotos', 'YR Chung']",NA,NA,0,,N/A
13,Topic and variation in ITA oral proficiency: SPEAK and field-specific tests,['J Smith'],1989,English for Specific Purposes,60,between speaker topic and oral language proficiency by comparing individual subject results  on the SPEAK test and field-specific oral proficiency tests which replicate the SPEAK Test,https://www.sciencedirect.com/science/article/pii/0889490689900276
14,INVESTIGATING THE CRITERION‐RELATED VALIDITY OF THE TOEFL® SPEAKING SCORES FOR ITA SCREENING AND SETTING STANDARDS FOR ITAS,['X Xi'],2008,ETS Research Report Series,40,Speaking for ITA screening  ITA‐screening tests or instructor recommendations were used  as the criterion measures. Relationships between the TOEFL Speaking test and the local ITA,https://onlinelibrary.wiley.com/doi/abs/10.1002/j.2333-8504.2008.tb02088.x
15,Towards defining a valid assessment criterion of pronunciation proficiency in non-native English-speaking graduate students,['T Isaacs'],2008,Canadian Modern Language Review,202,ITA screening and preparatory courses are a way for institutions to ensure that ITAs do meet  oral proficiency standards. Yet screening practices at North American academic institutions,https://utppublishing.com/doi/abs/10.3138/cmlr.64.4.555
16,Factor analysis for fairness: Examining the impact of task type and examinee L1 background on scores of an ITA speaking test,"['X Yan', 'L Cheng', 'A Ginther']",2019,Language Testing,29,Although the factor variances and factor means for oral proficiency differed across  aligned  with the ITA testing contexts. This study examines the construct validity of an ITA speaking test,https://journals.sagepub.com/doi/abs/10.1177/0265532218775764
17,The interactive demonstration of interactional competence in the ITA TEACH Test,['S Wagner'],2014,NA,3,"In the particular context of the TEACH test, by using “It’sa good question,” the prospective  ITA is demonstrating certain skills that are valued on the assessment rubric, in which effective",https://repository.upenn.edu/handle/20.500.14332/49539
18,Mitigating US undergraduates' attitudes toward international teaching assistants,"['O Kang', 'D Rubin', 'S Lindemann']",2015,Tesol Quarterly,166,"ITA oral proficiency (Rubin, 1992, 2002; Rubin & Smith, 1990). Linguistic stereotypes affect  broad judgments and perceptions of others and help determine the groups people associate",https://onlinelibrary.wiley.com/doi/abs/10.1002/tesq.192
19,"Crossing Pedagogical Oceans: International Teaching Assistants in US Undergraduate Education. ASHE-ERIC Higher Education Report No. 8, 1992.",['RM Smith'],1992,NA,121,"on ITA communication effectiveness,more research is needed in the following areas: (1)  classroom characteristics; (2)methods and materials facilitating ITA  the language proficiency of",https://eric.ed.gov/?id=ED358810
20,Ratings of L2 oral performance in English: Relative impact of rater characteristics and acoustic measures of accentedness,['O Kang'],2008,NA,84,"comprehensibility, variance in oral proficiency scores due to rater  The ITA speech samples  were acoustically analyzed on 12  Finally, 63 raters (including 29 trained) rated the same ITA",https://openscholar.uga.edu/record/9511
21,Nonlanguage factors affecting undergraduates' judgments of nonnative English-speaking teaching assistants,['DL Rubin'],1992,Research in Higher education,1078,"factor into negative perceptions of language proficiency and teaching ability (Brown, 1988).   A collaborative approach to ITA training: The ITAs, faculty, TAs, undergraduate interns, and",https://link.springer.com/article/10.1007/BF00973770
22,Cultural and linguistic miscues: A case study of international teaching assistant and academic faculty miscommunication,['S Jenkins'],2000,International Journal of Intercultural Relations,140,"Most faculty interpreted this behavior as lack of motivation, isolationism and unwillingness  to cooperate in ITA instructional  Implications for ITA training programs are discussed.",https://www.sciencedirect.com/science/article/pii/S0147176700000110
23,International teaching assistant program evaluation,['Y Shi'],2006,NA,6,"ITA programs. The response rate was 70%. It was found that the current ITA programs had  broad institutional goals and positive effects on ITAs’ improvement of language proficiency,",https://search.proquest.com/openview/764f8f5534403def6709acf2480ca1ee/1?pq-origsite=gscholar&cbl=18750&diss=y
24,Implications of student evaluations of teaching for ITA development,"['DD Hendel', 'T Dunham', 'J Smith', 'J Solberg', 'C Tzenis']",1992,NA,8,language proficiency. Students who are not able to verbalize their discomfort with an ITA's   ITAs as deficient in English regardless of their actual level of English language proficiency.,https://conservancy.umn.edu/bitstreams/d76e9558-364d-4e4a-9a88-7443b243b3b7/download
25,International teaching assistants and teacher identity,"['V LoCastro', 'G Tapper']",2015,Journal of Applied Linguistics,35,"language proficiency as well as departmental considerations. Thus, although participating as  an ITA  such as the extent to which the ITA was fully responsible for groups of students was",https://utppublishing.com/doi/abs/10.1558/japl.v3i2.185
26,The educational cultures of international teaching assistants and US universities,['GJ Gorsuch'],2003,Tesl-Ej,105,"This study focuses on ITA attitudes related to educational cultures. [-1-]  the ITA questionnaire,  while the ITA questionnaire had the more central function of gathering data on ITA attitudes",https://tesl-ej.org/wordpress/issues/volume7/ej27/ej27a1/?wscr
27,A Multiple Case Study of International Teaching Assistants' Investment in an ITA Training Class,['RW Anderson'],2020,NA,0,"program evaluation, which obscures many of subtleties of ITA’s  work focuses only on In-Service  ITA’s, the enrolled ITA’s who  assumptions could impact not only the ITA learners, but the",https://search.proquest.com/openview/ff1f738e162267ed82c44eeaaf78e71a/1?pq-origsite=gscholar&cbl=18750&diss=y
28,Undergraduates' experiences with and attitudes toward international teaching assistants,['BS Plakans'],1997,TESOL quarterly,201,Oral proficiency tests for ITA screening may need to include more opportunities for the  examinees to demonstrate their listening skills and ability to respond to typically informal student,https://onlinelibrary.wiley.com/doi/abs/10.2307/3587976
29,How International Teaching Assistant Programs Can Prevent Lawsuits.,['N Oppenheim'],1997,NA,15,"As I reviewed the ITA policies and procedures promulgated by the university, it was obvious   ' oral proficiency is tested. Second, they must provide evidence that the oral proficiency",https://eric.ed.gov/?id=ED408886
